STT;Mă;Tên nhóm;C?n ch?nh s?a;C?n chú ư
1;1a;TNR HOME - MBKD + CHDV + MBKD + CC CAO C?P;Xóa hoa h?ng  + thêm kư hi?u ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5 ) ;
2;Tài land;C?U GI?Y - NAM - B?C T? LIÊM ;"Xóa full hàng ? ḍng ' liên h? : .... "" + thêm mă + Xóa hoa h?ng  + thêm kư hi?u mă ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 )";Gía d??i 25tr th́ ??ng vào nhà nguyên c?n , trên 25tr vào m?t b?ng kinh doanh 
3;Tài land;??NG ?A - THANH XUÂN - HOÀNG MAI - THANH XUÂN ;"Xóa full hàng ? ḍng ' liên h? : .... "" + thêm mă + Xóa hoa h?ng  + thêm kư hi?u mă ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 )";Gía d??i 25tr th́ ??ng vào nhà nguyên c?n , trên 25tr vào m?t b?ng kinh doanh
4;Tài land;TÂY H? - HOÀN KI?M - HAI BÀ TR?NG ;"Xóa full hàng ? ḍng ' liên h? : .... "" + thêm mă + Xóa hoa h?ng  + thêm kư hi?u mă ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 )";Gía d??i 25tr th́ ??ng vào nhà nguyên c?n , trên 25tr vào m?t b?ng kinh doanh
5;vi?t qu?c ;THUÊ QU?N HOÀNG MAI - THANH TR̀ ;"Xóa full ch? ? ḍng "" hh...% ' + Xóa hoa h?ng  + thêm kư hi?u mă ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 )";"H?u nh? t?t c? ??u vào nhóm nhà nguyên c?n , n?u có ch? : mbkd , m?t b?ng , m?t b?ng kinh doanh , v?n pḥng "" th́ vào nhóm m?t b?ng kinh doanh "
6;vi?t qu?c ;NGU?N THUÊ CHUNG C? LINH ?ÀM - ??I THANH ;Thêm mă ??u ḍng  + Xóa hoa h?ng  + thêm kư hi?u mă ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 );??ng vào nhóm chung c?  ( nhóm m?i l?p )
7;vi?t qu?c ;THUÊ CHUNG C? KIM L? - KIM GIANG ;Thêm mă ?àu ḍng + Xóa hoa h?ng  + thêm kư hi?u mă ??u ḍng + ch?nh giá v? d?ng  Xtr ( ví d? 8tr --> 8tr , 8.000.000 --> 8tr , 8,5tr --> 8tr , 8.5tr--> 8tr5  , 8.500k --8tr5 );??ng vào nhóm chung c?  ( nhóm m?i l?p )
8;Tc;CTV NHÀ NGUYÊN C?N;"Xóa ḍng ch? "" lh ... "" + mă ??u ḍng ";??ng vào nhóm nhà nguyên c?n
9;tc;C?N H? - CHUNG C? CAO C?P;"Xóa ḍng ch? "" lh ... "" + mă ??u ḍng ( cái nhóm này ??ng lúc ?nh trc ?nh sau nh?ng gi?a các c?n ??u có icon c?u ?? ư nhé ) ";??ng vào nhóm chung c?  ( nhóm m?i l?p )
10;tc;NHÀ T?P TH? HÀ N?I;"Xóa ḍng ch? "" lh ... "" + mă ??u ḍng ( cái nhóm này ??ng lúc ?nh trc ?nh sau nh?ng gi?a các c?n ??u có icon c?u ?? ư nhé ) ";??ng vào nhóm nhà nguyên c?n
11;tc;M?T B?NG KINH DOANH - V?N PH̉NG ;"Xóa ḍng ch? "" lh ... "" + mă ??u ḍng ( cái nhóm này ??ng lúc ?nh trc ?nh sau nh?ng gi?a các c?n ??u có icon c?u ?? ư nhé ) ";??ng vào nhóm m?t b?ng kinh doanh
